tempo (s),entrada (V),saida (V)
27.43479299545288,1.0,1.16
27.53318190574646,1.0,1.19
27.635541677474976,1.0,1.18
27.7378888130188,1.0,1.21
27.836266040802002,1.0,1.19
27.93857717514038,1.0,1.18
28.041012287139893,1.0,1.18
28.139323711395264,1.0,1.17
28.241644144058228,1.0,1.17
28.344032287597656,1.0,1.16
28.442836046218872,1.0,1.2
28.544734716415405,1.0,1.18
28.647154092788696,1.0,1.2
28.74544072151184,1.0,1.19
28.84784197807312,1.0,1.18
28.95018458366394,1.0,1.18
29.048729181289673,1.0,1.17
29.15096402168274,1.0,1.17
29.253255128860474,1.0,1.16
29.351743459701538,1.0,1.2
29.45397114753723,1.0,1.18
29.556361436843872,1.0,1.2
29.65481162071228,1.0,1.19
29.75745987892151,1.0,1.18
29.85943865776062,1.0,1.17
29.957823276519775,1.5,1.16
30.060200452804565,1.5,1.18
30.162623643875122,1.5,1.17
30.26092290878296,1.5,1.2
30.363259315490723,1.5,1.19
30.465620279312134,1.5,1.22
30.56405782699585,1.5,1.21
30.666444778442383,1.5,1.19
30.768720865249634,1.5,1.18
30.867046117782593,1.5,1.17
30.969419240951538,1.5,1.19
31.07179546356201,1.5,1.18
31.170182466506958,1.5,1.21
31.272586822509766,1.5,1.2
31.37486457824707,1.5,1.22
31.473252296447754,1.5,1.21
31.575589179992676,1.5,1.19
31.6780207157135,1.5,1.19
31.776386976242065,1.5,1.18
31.87879252433777,1.5,1.19
31.981051921844482,1.5,1.18
32.079545736312866,1.5,1.21
32.18186116218567,1.5,1.2
32.2841100692749,1.5,1.23
32.382488489151,1.5,1.21
32.48490357398987,1.5,1.21
32.58724117279053,1.5,1.2
32.685609579086304,1.5,1.19
32.78798866271973,1.5,1.2
32.89034676551819,1.5,1.19
32.98868370056152,1.5,1.22
33.091169595718384,1.5,1.2
33.19339847564697,1.5,1.23
33.291800022125244,1.5,1.22
33.3941445350647,1.5,1.21
33.49652338027954,1.5,1.2
33.594873666763306,1.5,1.19
33.697261333465576,1.5,1.2
33.799612522125244,1.5,1.19
33.89801502227783,1.5,1.22
34.00033712387085,1.5,1.2
34.09872388839722,1.5,1.23
34.2011182308197,1.5,1.22
34.3034143447876,1.5,1.22
34.40178346633911,1.5,1.21
34.504159688949585,1.5,1.2
34.60653281211853,1.5,1.2
34.70506572723389,1.5,1.19
34.80725574493408,1.5,1.22
34.90962791442871,1.5,1.21
